戦略,ヒット銘柄数,銘柄一覧
A-1_高値BK出来高,0,
A-2_MA順列ADX,0,
A-3_相対強度新高値,0,
B-1_RuleOf40,4,"PLTR,ARM,ANET,MRVL"
B-2_EPS加速粗利拡大,7,"ANET,FTNT,MU,MRVL,KLAC,LRCX,7453.T"
B-3_売上加速FCF改善,11,"TSM,ANET,AMD,MU,MRVL,LRCX,MPWR,CAVA,8766.T,4484.T,9270.T"
C-1_PEG割安成長加速,0,
C-2_低PSR高成長,0,
C-3_EVRev割安収益改善,6,"ARM,ANET,MU,LRCX,8766.T,7453.T"
D-1_EPSサプライズBK,0,
D-2_上方修正新高値,0,
D-3_自社株買モメンタム,4,"ANET,KLAC,LRCX,9433.T"
E-1_MACDダイバージェンス,8,"MSFT,TSM,ADBE,PLTR,MELI,LLY,9270.T,4371.T"
E-2_ショートスクイーズ,0,
F-1_AIデータインフラ,3,"LRCX,CAVA,8766.T"
F-2_サイバーセキュリティ,2,"NET,4385.T"
F-3_バイオヘルステック,0,
G-1_CANSLIM完全版,0,
G-2_CANSLIM簡易版,0,
H-1_グロースモメンタム,0,
H-2_サプライズBK強度,0,
H-3_テーマ成長加速,2,"CAVA,8766.T"
H-4_安定ディフェンシブ,2,"AAPL,ABNB"
I-1_高ROIC,7,"PLTR,ANET,MU,MRVL,LRCX,AMAT,7741.T"
I-2_ターンアラウンド,13,"DDOG,ARM,ANET,MU,MRVL,KLAC,LRCX,8058.T,8766.T,4578.T,4751.T,7716.T,7453.T"
I-3_小型株プレミアム,0,
I-4_高配当成長,6,"JNJ,9432.T,8058.T,7741.T,4543.T,2782.T"
